Scenario - Edit asset  - Asset 1 in an Enterprise assessment,,,,,,,,,,,,,,,,,
User Journey/User Actions,Database Operations,,,,,,,,,,,,,,,,
Edit asset  - Asset 1,,risk_assess,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
update rule with new asset version,,risk_rule,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,rule_id,rule_seq_no,da_pt_id,da_opr_id,da_pt_val,refer_da_asset_id,refer_da_asset_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id
,,1,1,XX,1,1,1,1,3,2,3,1,1,2026-01-15T10:52:26.702Z,8193815,,
,,2,1,XX,1,1,1,1,3,2,3,1,2,2026-01-15T12:52:26.702Z,8193815,2026-01-15T13:52:26.702Z,8193815
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Merge to prod for XX scope,,,,,,,,,,,,,,,,,
,,risk_assess,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_assess_nm,risk_assess_ds,act_in,hist_ts,merge_prod_risk_assess_id,merge_prod_risk_assess_vsn_no,srce_risk_assess_id,srce_risk_assess_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,
,,1,1,XX,Enterprise assessmement,Enterprise assessmement,FALSE,,,,,,2026-01-15T08:52:26.702Z,8193815,2026-01-15T14:52:26.702Z,8193815,
,,2,1,XX,Enterprise assessmement 2,Enterprise assessmement 2,FALSE,,,,,,2026-01-15T12:52:26.702Z,8193815,2026-01-15T14:52:26.702Z,8193815,
,,1,2,XX,Enterprise assessmement,Enterprise assessmement ,TRUE,,,,,,2026-01-15T14:52:26.702Z,8193815,,,
,,,,,,,,,,,,,,,,,
Rule table enteries with latest prod id and version,,risk_rule,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,rule_id,rule_seq_no,da_pt_id,da_opr_id,da_pt_val,refer_da_asset_id,refer_da_asset_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id
,,1,1,XX,1,1,1,1,3,2,3,1,1,2026-01-15T10:52:26.702Z,8193815,,
,,2,1,XX,1,1,1,1,3,2,3,1,2,2026-01-15T12:52:26.702Z,8193815,2026-01-15T13:52:26.702Z,8193815
,,1,2,XX,1,1,1,1,3,2,3,1,2,2026-01-15T14:52:26.702Z,8193815,,
,,,,,,,,,,,,,,,,,
,,refer_da_asset_sta_hist,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,sta_updt_ts,refer_da_asset_sta_id,sta_updt_cmnt_tx,creat_user_id,,,,,,,,,,
,,1,1,2026-01-15T09:52:26.702Z,DRAFT,,8193815,,,,,,,,,,
,,1,1,2026-01-15T10:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
,,1,1,2026-01-15T11:52:26.702Z,PRODUCTION,,8193815,,,,,,,,,,
,,1,2,2026-01-15T13:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
,,1,2,2026-01-15T14:52:26.702Z,PRODUCTION,,8193815,,,,,,,,,,
,,1,1,2026-01-15T14:52:26.702Z,ARCHIVE,,8193815,,,,,,,,,,
